,Time,Low,High,Open,Close,Volume
0,1734350400,103289.21,107240.17,103727.11,107126.77,10149.14996635
1,1734328800,103600.0,105379.27,105001.7,103730.27,1449.98154579
2,1734307200,104227.01,106554.39,104445.15,104996.09,3822.54942101
3,1734285600,102603.94,105100.0,103126.83,104447.76,3476.76316802
4,1734264000,102422.74,103454.27,102634.74,103126.83,2067.73238054
5,1734242400,101516.72,102650.93,102116.06,102634.73,712.0200129
6,1734220800,101221.34,102805.46,101400.0,102116.05,1539.81801982
7,1734199200,100600.0,101475.0,100981.93,101399.99,968.38999407
8,1734177600,100815.17,101740.99,101575.64,100981.94,884.15208064
9,1734156000,101317.15,102000.0,101732.26,101575.64,620.7515728
10,1734134400,101144.48,102650.0,101428.74,101732.26,1708.1081553
11,1734112800,101113.08,101959.13,101778.49,101428.75,4880.63014669
12,1734091200,99696.63,101817.55,100347.78,101778.49,5477.31833401
13,1734069600,99510.0,100793.58,99910.53,100347.79,1627.57506572
14,1734048000,99220.81,100368.57,100024.75,99910.53,1342.07599432
15,1734026400,99298.39,101727.69,101661.92,100030.47,3848.36690271
16,1734004800,100377.61,102595.0,100383.47,101664.54,6413.9455221
17,1733983200,100194.33,101152.68,100659.14,100383.46,1321.19048569
18,1733961600,100400.01,101953.03,101211.61,100659.14,3213.42165497
19,1733940000,99689.79,101984.98,99868.22,101202.11,8103.34655396
20,1733918400,98097.22,101216.69,98336.38,99868.53,9233.72499425
21,1733896800,97272.49,98500.0,97534.7,98336.38,1494.11966884
22,1733875200,95722.79,97722.18,96660.75,97534.69,2359.04631589
23,1733853600,94273.38,97262.99,94498.46,96660.76,6267.58676606
24,1733832000,94401.95,98338.17,97763.15,94498.46,9051.72171342
25,1733810400,96838.23,97965.26,96977.05,97756.78,1862.77101078
26,1733788800,95605.01,98180.0,97330.66,96977.08,3438.45928462
27,1733767200,94220.8,98257.01,97326.17,97324.81,9429.05402856
28,1733745600,97300.0,100443.98,98050.01,97326.16,5834.93328935
29,1733724000,98005.0,99763.9,99485.32,98050.01,2355.9506168
30,1733702400,98514.9,101290.73,101175.0,99490.16,2483.11279993
31,1733680800,99506.89,101435.05,99996.93,101174.99,1436.66982253
32,1733659200,99407.6,100572.19,99760.67,99996.93,1311.82983365
33,1733637600,98729.66,99924.73,99604.69,99755.04,672.0564644
34,1733616000,99423.32,100417.14,99919.2,99601.82,809.7961311
35,1733594400,99658.75,100525.65,99728.83,99929.32,1244.18877613
