,Time,Low,High,Open,Close,Volume
0,1734361200,105269.52,106542.0,105489.77,106399.36,2919.48199656
1,1734357600,103830.01,106019.02,103855.67,105489.76,1969.80861285
2,1734354000,103417.0,104099.65,103595.96,103854.16,404.34685525
3,1734350400,103289.21,104111.67,103727.11,103595.97,452.84637931
4,1734346800,103600.0,104814.54,104640.45,103730.27,280.73214584
5,1734343200,104309.3,104701.71,104652.97,104640.44,200.20643344
6,1734339600,104461.58,104915.89,104494.66,104652.97,311.81125645
7,1734336000,104473.14,104996.73,104957.19,104494.64,237.06857126
8,1734332400,104850.51,105379.27,105131.79,104957.19,172.52561069
9,1734328800,104920.0,105332.0,105001.7,105131.8,247.63752811
10,1734325200,104447.57,105053.82,104645.82,104996.09,230.01564057
11,1734321600,104428.02,104772.71,104551.59,104645.83,282.28343373
12,1734318000,104227.01,104959.99,104543.62,104553.11,424.45841635
13,1734314400,104407.48,105617.04,105493.02,104546.33,563.49790033
14,1734310800,104911.74,105514.19,105382.81,105493.03,639.47261097
15,1734307200,104293.75,106554.39,104445.15,105382.69,1682.82141906
16,1734303600,103213.79,105100.0,103247.81,104447.76,2364.72448356
17,1734300000,102603.94,103373.16,102841.61,103245.47,253.60927027
18,1734296400,102620.0,103167.93,103107.74,102841.61,290.52969099
19,1734292800,103015.83,103382.44,103216.28,103107.74,199.91790557
20,1734289200,103142.41,103400.0,103156.68,103218.36,162.74010923
21,1734285600,102955.15,103322.62,103126.83,103156.62,205.2417084
22,1734282000,102940.75,103333.0,103073.67,103126.83,364.93960255
23,1734278400,102546.8,103454.27,102665.9,103073.67,666.41113888
24,1734274800,102654.32,103000.0,102943.82,102665.9,221.9515892
25,1734271200,102608.2,103024.01,102748.58,102941.11,191.48548893
26,1734267600,102422.74,102954.66,102906.13,102747.55,204.23827147
27,1734264000,102494.26,103292.44,102634.74,102906.13,418.70628951
28,1734260400,102205.77,102650.93,102244.71,102634.73,136.76177042
29,1734256800,102124.55,102420.55,102224.29,102244.71,100.74854406
30,1734253200,101893.12,102232.36,101989.0,102224.3,100.63320511
31,1734249600,101556.35,101997.35,101714.23,101989.01,73.81357494
32,1734246000,101516.72,101933.12,101743.27,101714.23,143.05862985
33,1734242400,101737.6,102135.57,102116.06,101743.27,157.00428852
34,1734238800,102061.36,102487.51,102346.06,102116.05,345.99544229
35,1734235200,101705.68,102805.46,101705.68,102346.06,664.64515746
36,1734231600,101696.0,101915.44,101790.31,101705.68,78.52834432
37,1734228000,101736.6,102106.05,102088.88,101790.31,131.46129301
38,1734224400,101391.43,102154.14,101425.64,102088.89,175.25484314
39,1734220800,101221.34,101548.31,101400.0,101425.65,143.9329396
40,1734217200,101043.01,101475.0,101108.8,101399.99,155.52628161
41,1734213600,100880.63,101257.15,101066.18,101108.8,121.62359638
42,1734210000,100751.36,101180.62,100763.33,101066.18,128.80468252
43,1734206400,100600.0,101417.34,101320.63,100763.97,168.24795023
44,1734202800,100853.76,101351.48,100888.68,101320.63,185.4576524
45,1734199200,100818.75,101186.03,100981.93,100888.69,208.72983093
46,1734195600,100882.35,101726.61,101650.24,100981.94,180.08229912
47,1734192000,101419.23,101661.75,101620.1,101650.6,119.33256189
48,1734188400,101338.44,101740.99,101427.61,101620.11,139.68807049
49,1734184800,101150.15,101532.23,101170.06,101427.61,135.40888009
50,1734181200,100815.17,101422.67,101293.98,101179.84,196.91045397
51,1734177600,101244.77,101644.29,101575.64,101297.94,112.72981508
