,Time,Low,High,Open,Close,Volume
0,1734363000,105804.49,106531.07,106315.76,106437.32,801.73887818
1,1734362100,105774.31,106542.0,106082.28,106315.76,608.10772699
2,1734361200,105269.52,106209.06,105489.77,106082.09,903.46792784
3,1734360300,105098.66,106019.02,105385.82,105489.76,895.2384086
4,1734359400,104293.29,105396.35,104353.32,105396.04,813.64412018
5,1734358500,104074.6,104370.16,104145.61,104356.82,170.5742913
6,1734357600,103830.01,104200.0,103855.67,104145.62,90.35179277
7,1734356700,103699.23,104000.0,103910.95,103854.16,50.29408615
8,1734355800,103704.54,104050.0,104017.82,103910.95,85.95366514
9,1734354900,103860.8,104099.65,103983.15,104019.16,96.61341291
10,1734354000,103417.0,104022.09,103595.96,103983.15,171.48569105
11,1734353100,103289.21,103656.99,103572.11,103595.97,91.19373978
12,1734352200,103535.38,103930.78,103856.84,103572.23,95.08635623
13,1734351300,103736.69,104111.67,104022.45,103858.04,141.86293144
14,1734350400,103566.63,104063.72,103727.11,104022.46,124.70335186
15,1734349500,103600.0,104143.02,104071.1,103730.27,146.45061738
16,1734348600,104027.67,104493.64,104443.81,104075.36,75.55644673
17,1734347700,104426.4,104698.16,104673.53,104443.8,27.49591135
18,1734346800,104570.02,104814.54,104640.45,104672.79,31.22917038
19,1734345900,104541.11,104681.58,104604.23,104640.44,31.72948453
20,1734345000,104397.74,104658.83,104406.21,104604.23,36.27109856
21,1734344100,104309.3,104545.12,104426.45,104406.21,45.06861407
22,1734343200,104421.99,104701.71,104652.97,104423.56,87.13723628
23,1734342300,104645.93,104849.89,104849.88,104652.97,44.99189435
24,1734341400,104712.23,104915.89,104712.33,104849.89,61.59817114
25,1734340500,104470.92,104734.32,104501.95,104712.23,95.3152844
26,1734339600,104461.58,104736.28,104494.66,104496.64,109.90590656
27,1734338700,104473.14,104703.99,104685.99,104494.64,51.3858497
28,1734337800,104659.57,104824.5,104722.04,104685.99,37.21478351
29,1734336900,104637.11,104979.46,104759.79,104724.31,63.40260431
30,1734336000,104678.89,104996.73,104957.19,104759.78,85.06533374
31,1734335100,104850.51,105165.1,105090.52,104957.19,48.48816158
32,1734334200,105052.12,105192.37,105189.32,105090.53,33.12679599
33,1734333300,105179.63,105379.27,105237.31,105189.33,47.98361826
34,1734332400,105025.07,105268.38,105131.79,105237.32,42.92703486
35,1734331500,104929.0,105181.04,105171.07,105131.8,45.14475961
36,1734330600,105048.75,105332.0,105060.95,105174.02,71.08664939
37,1734329700,105050.5,105207.78,105172.89,105058.81,72.21600306
38,1734328800,104920.0,105175.11,105001.7,105175.11,59.19011605
39,1734327900,104919.85,105053.82,104962.65,104996.09,37.08353434
40,1734327000,104746.2,105031.68,104778.53,104962.65,76.45767194
41,1734326100,104645.31,104812.84,104660.76,104778.53,74.79878946
42,1734325200,104447.57,104755.04,104645.82,104663.56,41.67564483
43,1734324300,104431.26,104700.0,104536.01,104645.83,50.09797255
44,1734323400,104479.54,104772.71,104596.03,104536.01,88.76666266
45,1734322500,104533.3,104722.11,104632.61,104596.02,69.35614149
46,1734321600,104428.02,104653.49,104551.59,104632.86,74.06265703
47,1734320700,104227.01,104712.39,104653.66,104553.11,159.59912452
48,1734319800,104604.77,104959.11,104881.38,104652.41,62.13992523
49,1734318900,104602.26,104959.99,104888.28,104881.38,94.96324776
50,1734318000,104459.95,104957.65,104543.62,104888.28,107.75611884
51,1734317100,104407.48,104669.45,104530.56,104546.33,88.54166982
52,1734316200,104474.16,104806.88,104566.52,104530.56,112.09602241
53,1734315300,104469.53,105086.61,105066.57,104566.51,162.88747653
54,1734314400,105042.85,105617.04,105493.02,105064.84,199.97273157
55,1734313500,105111.24,105505.0,105135.93,105493.03,88.57518461
56,1734312600,105042.83,105362.37,105048.89,105135.93,172.80336109
57,1734311700,104911.74,105514.19,105184.03,105048.88,218.32803261
58,1734310800,104965.83,105508.41,105382.81,105184.02,159.76603266
59,1734309900,105268.65,105908.17,105832.45,105382.69,358.4645671
60,1734309000,105193.95,106554.39,105200.89,105832.44,871.36571649
61,1734308100,104388.33,105220.0,104480.18,105201.66,283.00878749
62,1734307200,104293.75,104733.8,104445.15,104480.18,170.01567845
